2026-01-28T04:14:08.000000000Z [inf]  Starting Container
2026-01-28T04:35:09.668478535Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response is a refusal to answer the user's question, stating it lacks relevant standards documents., The response does not provide any of the requested technical specifications or typical values for a Process Temperature Transmitter.. The model should attempt to provide typical or general technical specifications for a Process Temperature Transmitter, even if it cannot cite specific standards documents. It could preface the information by stating that the values are common industry ranges or examples, rather than directly sourced from specific, cited standards. If it truly cannot generate any relevant information, it should explain its limitations more constructively, perhaps offering to provide information on a related but less specific topic.
2026-01-28T04:35:09.668484264Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T04:35:09.668490519Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T04:35:09.668496224Z [err]  ERROR:agentic.standards_rag.standards_rag_workflow:Error executing workflow: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:09.668502269Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
2026-01-28T04:35:09.668507976Z [err]  Traceback (most recent call last):
2026-01-28T04:35:09.668513876Z [err]    File "/app/agentic/standards_rag/standards_rag_workflow.py", line 579, in run_standards_rag_workflow
2026-01-28T04:35:09.668688342Z [err]      final_state = app.invoke(initial_state, config=config)
2026-01-28T04:35:09.668694473Z [err]                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:09.668701704Z [err]    File "/opt/venv/lib/python3.11/site-packages/langgraph/pregel/main.py", line 3071, in invoke
2026-01-28T04:35:09.669048808Z [err]      for chunk in self.stream(
2026-01-28T04:35:09.669056813Z [err]    File "/opt/venv/lib/python3.11/site-packages/langgraph/pregel/main.py", line 2674, in stream
2026-01-28T04:35:09.669065608Z [err]      raise GraphRecursionError(msg)
2026-01-28T04:35:09.669073746Z [err]  langgraph.errors.GraphRecursionError: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:09.669080227Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
2026-01-28T04:35:09.669125781Z [err]  WARNING:tools.standards_enrichment_tool:Standards RAG returned error: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:09.669133484Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
2026-01-28T04:35:09.669139512Z [err]  WARNING:tools.standards_enrichment_tool:[StandardsEnrichment] Comprehensive query failed
2026-01-28T04:35:09.669144914Z [err]  INFO:tools.standards_enrichment_tool:[StandardsEnrichment] Populated 0/42 fields (took 217.43s)
2026-01-28T04:35:09.669150428Z [err]  INFO:tools.standards_enrichment_tool:[SCHEMA POPULATION] COMPLETED - Fields: 0/42, Time: 217.43s
2026-01-28T04:35:09.669158744Z [err]  INFO:tools.standards_enrichment_tool:[StandardsEnrichment] Enriching schema for: Process Temperature Transmitter
2026-01-28T04:35:09.669164621Z [err]  INFO:tools.standards_enrichment_tool:[StandardsEnrichment] LLM-Powered RAG for: Process Temperature Transmitter
2026-01-28T04:35:09.670271309Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Running Standards RAG workflow for question: What are the applicable engineering standards (ISO, IEC, API, ANSI, ISA),
2026-01-28T04:35:09.670275505Z [err]    File "/app/agentic/standards_rag/standards_chat_agent.py", line 527, in create_standards_chat_agent
2026-01-28T04:35:09.670278024Z [err]          certifications (SI...
2026-01-28T04:35:09.670282631Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 1] Validating question and resolving follow-ups...
2026-01-28T04:35:09.670287155Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Question valid. Key terms: ['applicable', 'engineering', 'standards', '(iso,', 'iec,', 'api,', 'ansi,', 'isa),', 'certifications', '(sil,'], Follow-up: False
2026-01-28T04:35:09.670291246Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 2] Retrieving standards documents from Pinecone...
2026-01-28T04:35:09.670295164Z [err]  INFO:agentic.standards_rag.standards_chat_agent:[StandardsChatAgent] Creating singleton instance (first call)
2026-01-28T04:35:09.670299573Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T04:35:09.670304092Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T04:35:09.670307865Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Wrapping LLM with 120s timeout
2026-01-28T04:35:09.670311849Z [err]  ERROR:agentic.standards_rag.standards_rag_workflow:Error retrieving documents: Expected a Runnable, callable or dict.Instead got an unsupported type: <class 'llm_fallback.LLMWithTimeout'>
2026-01-28T04:35:09.670315622Z [err]  Traceback (most recent call last):
2026-01-28T04:35:09.670319657Z [err]    File "/app/agentic/standards_rag/standards_rag_workflow.py", line 202, in retrieve_standards_node
2026-01-28T04:35:09.670323338Z [err]      agent = create_standards_chat_agent()
2026-01-28T04:35:09.670326918Z [err]              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:09.672566233Z [err]      return get_standards_chat_agent(temperature=temperature)
2026-01-28T04:35:09.672572337Z [err]                                    ^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:09.672577262Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:09.672581321Z [err]    File "/opt/venv/lib/python3.11/site-packages/langchain_core/runnables/base.py", line 6062, in coerce_to_runnable
2026-01-28T04:35:09.672586804Z [err]    File "/app/agentic/standards_rag/standards_chat_agent.py", line 504, in get_standards_chat_agent
2026-01-28T04:35:09.672588498Z [err]      raise TypeError(msg)
2026-01-28T04:35:09.672593862Z [err]  TypeError: Expected a Runnable, callable or dict.Instead got an unsupported type: <class 'llm_fallback.LLMWithTimeout'>
2026-01-28T04:35:09.672598391Z [err]      _standards_chat_agent_instance = StandardsChatAgent(temperature=temperature)
2026-01-28T04:35:09.672600153Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 3] Generating answer (attempt 1)...
2026-01-28T04:35:09.672607120Z [err]                                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:09.672609538Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 4] Validating response...
2026-01-28T04:35:09.672616246Z [err]    File "/app/agentic/standards_rag/standards_chat_agent.py", line 207, in __init__
2026-01-28T04:35:09.672616253Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-flash (key #1/1, skip_test=True)
2026-01-28T04:35:09.672623428Z [err]      self.chain = self.prompt | self.llm | self.parser
2026-01-28T04:35:09.672629558Z [err]                   ~~~~~~~~~~~~^~~~~~~~~~
2026-01-28T04:35:09.672635194Z [err]    File "/opt/venv/lib/python3.11/site-packages/langchain_core/runnables/base.py", line 635, in __or__
2026-01-28T04:35:09.672641185Z [err]      return RunnableSequence(self, coerce_to_runnable(other))
2026-01-28T04:35:09.673969540Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-flash
2026-01-28T04:35:09.673976816Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent initialized
2026-01-28T04:35:09.673982804Z [err]  INFO:agentic.shared_agents:ResponseValidatorAgent validating response...
2026-01-28T04:35:09.673988571Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:35:14.658605046Z [err]  INFO:agentic.shared_agents:Validation complete: valid=False, score=0.31
2026-01-28T04:35:14.658617231Z [err]  WARNING:agentic.standards_rag.standards_rag_workflow:Validation failed: Issues: The response does not provide any of the requested technical specifications for a pressure transmitter., The response is not grounded in the provided context, as it makes a statement about its own capabilities rather than using external information or the (non-existent) context., No citations are provided, as no information was given.. The model should attempt to provide typical technical specifications for a pressure transmitter, even if it cannot directly cite specific standards documents. It could preface the information by stating that these are common industry values or ranges and advise the user to consult specific manufacturer datasheets or relevant industry standards for precise, certified values. For example, it could provide typical ranges for accuracy, output signal, power supply, etc., and mention common standards like IEC 61511 for SIL or NACE MR0103/MR0175 for material compliance, without necessarily providing specific document excerpts.
2026-01-28T04:35:14.658624450Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:[Node 5] Making retry decision...
2026-01-28T04:35:14.658630369Z [err]  INFO:agentic.standards_rag.standards_rag_workflow:Retrying (attempt 2/3)...
2026-01-28T04:35:14.658635487Z [err]  ERROR:agentic.standards_rag.standards_rag_workflow:Error executing workflow: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:14.658640373Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
2026-01-28T04:35:14.658650494Z [err]  Traceback (most recent call last):
2026-01-28T04:35:14.658780281Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:35:14.659484725Z [err]    File "/app/agentic/standards_rag/standards_rag_workflow.py", line 579, in run_standards_rag_workflow
2026-01-28T04:35:14.659489975Z [err]      final_state = app.invoke(initial_state, config=config)
2026-01-28T04:35:14.659495093Z [err]                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-28T04:35:14.659500461Z [err]    File "/opt/venv/lib/python3.11/site-packages/langgraph/pregel/main.py", line 3071, in invoke
2026-01-28T04:35:14.659505234Z [err]      for chunk in self.stream(
2026-01-28T04:35:14.659513828Z [err]    File "/opt/venv/lib/python3.11/site-packages/langgraph/pregel/main.py", line 2674, in stream
2026-01-28T04:35:14.659536991Z [err]      raise GraphRecursionError(msg)
2026-01-28T04:35:14.659544635Z [err]  langgraph.errors.GraphRecursionError: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:14.659552149Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
2026-01-28T04:35:14.659557709Z [err]  WARNING:tools.standards_enrichment_tool:Standards RAG returned error: Recursion limit of 50 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
2026-01-28T04:35:14.659563814Z [err]  For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT
